ID Institution,Institution,ID Stage 1a,Stage 1a,ID Stage 1b,Stage 1b,ID Stage 2,Stage 2,Avg efectiveness,Avg overcoming,Avg initiative,Avg integration,Avg improvement,Avg fairness,Avg sned_score
25792,ESCUELA ESP. PART. SANTA MARIA DE QUILICURA,3,Educación especial,5,Educación especial,51,Educación especial grupo 1,,,94.125,90.125,92.59259033203125,96.54935455322266,94.98988342285156
25793,ESC. ESP. PART. GABRIELA MISTRAL DE PENALOLEN,3,Educación especial,5,Educación especial,51,Educación especial grupo 1,,,98.625,75.0,100.0,96.54935455322266,94.02388000488281
25795,COLEGIO PARTICULAR BLUMENTHAL,1,Urbana,2,Media urbana (con o sin básica),32,Media urbana (con o sin básica) grupo 2,60.02690124511719,35.12523651123047,57.630001068115234,52.25,81.48148345947266,95.52092742919922,60.75955581665039
25797,ESCUELA B-SICA PUCARA LASANA,1,Urbana,1,Básica urbana,13,Básica urbana grupo 3,57.644798278808594,45.03786849975586,76.8499984741211,30.083332061767578,92.59259033203125,96.7816162109375,63.19815444946289
25798,COLEGIO RELIGIOSO SANTA MARGARITA,1,Urbana,2,Media urbana (con o sin básica),32,Media urbana (con o sin básica) grupo 2,53.54634094238281,42.77568054199219,82.9000015258789,91.08333587646484,55.55555725097656,79.60076904296875,59.9407844543457
25799,ESC. BAS. PART. ERNESTINA KRISCHUK,1,Urbana,1,Básica urbana,12,Básica urbana grupo 2,67.61038208007812,50.4254150390625,0.0,0.0,81.48148345947266,95.52092742919922,61.77919006347656
25801,ESCUELA ESP. LA ESPIGA,3,Educación especial,5,Educación especial,51,Educación especial grupo 1,,,98.375,95.0,92.59259033203125,98.09200286865234,97.38455200195312
25803,ESC. PART. ALBERT SCHWEITZER,1,Urbana,1,Básica urbana,13,Básica urbana grupo 3,46.87514114379883,50.61873245239258,87.9000015258789,43.0,92.59259033203125,97.12189483642578,62.15971755981445
25804,COLEGIO PART. ANTUPIREN,1,Urbana,2,Media urbana (con o sin básica),31,Media urbana (con o sin básica) grupo 1,70.82766723632812,41.381507873535156,81.9000015258789,60.66666793823242,92.59259033203125,95.52092742919922,68.60684967041016
25807,ESCUELA ESP. PART. LA PASCANA,3,Educación especial,5,Educación especial,51,Educación especial grupo 1,,,0.0,0.0,92.59259033203125,95.52092742919922,65.33273315429688
25808,ESC. BAS. PART. LAS NACIONES,1,Urbana,1,Básica urbana,12,Básica urbana grupo 2,53.510955810546875,54.35498809814453,0.0,0.0,100.0,95.52092742919922,58.03305435180664
25809,ESC.ESP. PART.SAN VICENTE DE PAUL DE CONCHAL-,3,Educación especial,5,Educación especial,51,Educación especial grupo 1,,,60.6875,96.625,92.59259033203125,96.54935455322266,90.18631744384766
25812,LICEO MUNICIP. DE ADULTOS PEDRO J. RODRIGUEZ,1,Urbana,2,Media urbana (con o sin básica),33,Media urbana (con o sin básica) grupo 3,53.83206558227539,47.478721618652344,0.0,0.0,81.48148345947266,95.52092742919922,55.85614013671875
25814,ESCUELA BÁSICA Y ESPECIAL N°120 SAYEN,1,Urbana,1,Básica urbana,12,Básica urbana grupo 2,58.30185317993164,44.378456115722656,0.0,0.0,92.59259033203125,95.52092742919922,56.86410903930664
25818,COLEGIO PART. ADULTOS INSTITUTO ICEL,1,Urbana,2,Media urbana (con o sin básica),32,Media urbana (con o sin básica) grupo 2,66.20064544677734,47.565067291259766,0.0,0.0,74.0740737915039,95.52092742919922,60.30854415893555
25819,ESCUELA ESP. PART. SAN PIO DE PIETRELCINA,3,Educación especial,5,Educación especial,51,Educación especial grupo 1,,,0.0,0.0,81.48148345947266,95.52092742919922,64.69780731201172
25823,ESCUELA DE LAS ARTES Y LA TECNOLOGIA,1,Urbana,1,Básica urbana,12,Básica urbana grupo 2,56.69746017456055,48.101585388183594,72.0999984741211,38.58333206176758,81.48148345947266,95.52092742919922,63.34590530395508
25824,LICEO SERGIO SILVA BASCUNAN,1,Urbana,2,Media urbana (con o sin básica),33,Media urbana (con o sin básica) grupo 3,71.225341796875,44.79099655151367,87.68181610107422,95.58333587646484,99.62013244628906,95.52092742919922,71.94194030761719
25826,ESCUELA BASICA MILLAWE,1,Urbana,1,Básica urbana,11,Básica urbana grupo 1,58.15369415283203,52.09823226928711,84.27999877929688,53.66666793823242,100.0,97.13191986083984,67.2135238647461
25828,ESC. ESPECIAL PART. JAN VAN DIJK,3,Educación especial,5,Educación especial,51,Educación especial grupo 1,,,69.25,75.875,92.59259033203125,98.09200286865234,89.65955352783203
25829,COLEGIO PART. SAN ADRIAN DE QUILICURA,1,Urbana,2,Media urbana (con o sin básica),31,Media urbana (con o sin básica) grupo 1,79.0479965209961,44.09608459472656,76.18000030517578,48.66666793823242,92.59259033203125,95.52092742919922,71.46525573730469
25831,ESCUELA BASICA PARTICULAR CONTEMPORA,1,Urbana,1,Básica urbana,11,Básica urbana grupo 1,64.01493835449219,51.501609802246094,0.0,0.0,100.0,95.52092742919922,61.120582580566406
25832,COLEGIO PART. PAN AMERICAN COLLEGE SANTIAGO,1,Urbana,2,Media urbana (con o sin básica),31,Media urbana (con o sin básica) grupo 1,69.38268280029297,51.591148376464844,86.52999877929688,73.91666412353516,92.59259033203125,95.52092742919922,71.87120056152344
25834,ESCUELA ESP. PART. EL PRINCIPITO DE LO HERRER,3,Educación especial,5,Educación especial,51,Educación especial grupo 1,,,0.0,0.0,100.0,95.52092742919922,65.75601196289062
25836,ESCUELA PART. ROSA JARAQUEMADA,1,Urbana,1,Básica urbana,11,Básica urbana grupo 1,80.53384399414062,56.16725158691406,0.0,0.0,100.0,95.52092742919922,68.53895568847656
25838,ESCUELA BAS. MY GARDEN SCHOOL,1,Urbana,1,Básica urbana,12,Básica urbana grupo 2,82.4964370727539,46.67966079711914,88.19999694824219,58.66666793823242,100.0,95.52092742919922,74.83392333984375
25839,ESC. BAS. Y ESP. CELEI,1,Urbana,1,Básica urbana,11,Básica urbana grupo 1,70.52141571044922,48.67298126220703,68.23999786376953,62.16666793823242,92.59259033203125,95.52092742919922,69.7905502319336
25840,ESCUEL PARV. ABRA CADABRA,1,Urbana,1,Básica urbana,11,Básica urbana grupo 1,67.47740936279297,47.23710632324219,36.009090423583984,61.0,100.0,95.52092742919922,66.41818237304688
25843,COLEGIO PART. SAGRADO CORAZON DE TALAGANTE,1,Urbana,2,Media urbana (con o sin básica),31,Media urbana (con o sin básica) grupo 1,82.41737365722656,42.23558044433594,85.4000015258789,73.66666412353516,100.0,95.52092742919922,74.14232635498047
25845,ESCUELA PART. SAN MARCELO N_ 3,1,Urbana,1,Básica urbana,13,Básica urbana grupo 3,41.069923400878906,36.0064811706543,0.0,0.0,92.59259033203125,95.7097396850586,48.1856803894043
25847,ESCUELA ESP. PART. SANTA ROSA DE MELIPILLA,3,Educación especial,5,Educación especial,51,Educación especial grupo 1,,,76.1875,90.625,92.59259033203125,95.52092742919922,91.33987426757812
25850,COLEGIO DEL VALLE,1,Urbana,2,Media urbana (con o sin básica),31,Media urbana (con o sin básica) grupo 1,74.9423599243164,46.964935302734375,78.37999725341797,68.25,92.09876251220703,95.52092742919922,71.85073852539062
25851,ESC. PART. EL ARRAYAN DE MAIPU,1,Urbana,1,Básica urbana,11,Básica urbana grupo 1,70.90821838378906,50.80792236328125,67.25,48.08333206176758,55.1440315246582,95.52092742919922,69.01890563964844
25853,COLEGIO POLIVALENTE NOVO HORIZONTE,1,Urbana,2,Media urbana (con o sin básica),33,Media urbana (con o sin básica) grupo 3,45.651851654052734,40.46023178100586,76.14545440673828,73.75,92.59259033203125,95.52092742919922,59.34273147583008
25854,CENTRO ESTI. DE HAB. COMUNICATIVAS AMERICA,3,Educación especial,5,Educación especial,51,Educación especial grupo 1,,,76.25,46.75,100.0,96.54935455322266,86.15245056152344
25855,COLEGIO MUNICIPAL INSTITUTO CHACABUCO,1,Urbana,2,Media urbana (con o sin básica),32,Media urbana (con o sin básica) grupo 2,76.58232879638672,45.9535026550293,88.30000305175781,100.0,92.59259033203125,95.52092742919922,74.36689758300781
25856,ESCUELA ESP. PART. APRAVI,3,Educación especial,5,Educación especial,51,Educación especial grupo 1,,,0.0,0.0,92.59259033203125,95.52092742919922,65.33273315429688
25857,ESCUELA ESP. PART. HAPPY CHILDREN,3,Educación especial,5,Educación especial,51,Educación especial grupo 1,,,85.375,35.83333206176758,100.0,96.54935455322266,86.15721130371094
25859,ESCUELA ESP. PART. RALUI,3,Educación especial,5,Educación especial,51,Educación especial grupo 1,,,0.0,0.0,100.0,95.52092742919922,65.75601196289062
25860,ESCUELA ESP. PART. CORDILLERA ORIENTE,3,Educación especial,5,Educación especial,51,Educación especial grupo 1,,,0.0,0.0,81.48148345947266,95.52092742919922,64.69780731201172
25862,ESCUELA ESP. PART. CAPULLITOS DE SOL,3,Educación especial,5,Educación especial,51,Educación especial grupo 1,,,100.0,100.0,81.48148345947266,96.54935455322266,96.77281951904297
25865,SAN IGNACIO COLLEGE,1,Urbana,2,Media urbana (con o sin básica),32,Media urbana (con o sin básica) grupo 2,49.514068603515625,46.99422836303711,81.7300033569336,66.91666412353516,92.40265655517578,96.97364807128906,62.91048049926758
25867,ESCUELA PART. AMANECER DE LA GRANJA,3,Educación especial,5,Educación especial,51,Educación especial grupo 1,,,61.75,45.5,100.0,96.54935455322266,83.48816680908203
25869,ESCUELA ESP. PART. SAN NICOLAS,3,Educación especial,5,Educación especial,51,Educación especial grupo 1,,,0.0,0.0,92.59259033203125,95.52092742919922,65.33273315429688
25872,ESCUELA DE PARV. CARRUSEL DE AMIGOS,1,Urbana,1,Básica urbana,12,Básica urbana grupo 2,60.50236892700195,47.2756462097168,0.0,0.0,55.55555725097656,96.32438659667969,57.925533294677734
25873,ESCUELA ESP. DE LENGUAJE PLAZA SESAMO,3,Educación especial,5,Educación especial,51,Educación especial grupo 1,,,85.25,52.375,92.59259033203125,95.52092742919922,87.42916107177734
25874,COLEGIO DE ADULTOS PART. VASCO DE GAMA,1,Urbana,2,Media urbana (con o sin básica),31,Media urbana (con o sin básica) grupo 1,74.83184051513672,47.33171844482422,0.0,0.0,100.0,95.52092742919922,63.955265045166016
25876,COLEGIO CENTRO EDUC. Y FAMILIAR PTE ALTO,1,Urbana,2,Media urbana (con o sin básica),32,Media urbana (con o sin básica) grupo 2,66.20064544677734,47.565067291259766,72.80000305175781,21.5,100.0,97.0553970336914,66.6076431274414
25877,ESCUELA ESPECIAL Y DE PÁRVULOS PARTICULAR SAN NICOLÁS DE BELÉN,3,Educación especial,5,Educación especial,51,Educación especial grupo 1,,,78.625,74.375,81.48148345947266,96.54935455322266,89.44782257080078
25878,ESCUELA ESP. PART. AMANTU,3,Educación especial,5,Educación especial,51,Educación especial grupo 1,,,0.0,0.0,92.59259033203125,95.52092742919922,65.33273315429688
25881,ESCUELA ESP. PART. PATAGONIA,3,Educación especial,5,Educación especial,51,Educación especial grupo 1,,,0.0,0.0,92.59259033203125,95.52092742919922,65.33273315429688
25882,COLEGIO NOBEL GABRIELA MISTRAL,1,Urbana,2,Media urbana (con o sin básica),32,Media urbana (con o sin básica) grupo 2,64.82524871826172,45.490013122558594,69.4800033569336,53.41666793823242,92.59259033203125,95.52092742919922,66.42863464355469
25883,ESC. ESP. PART. SAN MATEO DEL BOSQUE,3,Educación especial,5,Educación especial,51,Educación especial grupo 1,,,72.5625,58.0,100.0,98.09200286865234,88.09711456298828
25884,ESCUELA ESP. PART. ACONCAGUA DE COLINA,3,Educación especial,5,Educación especial,51,Educación especial grupo 1,,,68.3125,40.5,92.59259033203125,95.52092742919922,82.82916259765625
25885,COLEGIO INTERCULTURAL TREMEMN,1,Urbana,2,Media urbana (con o sin básica),31,Media urbana (con o sin básica) grupo 1,77.46431732177734,46.985755920410156,69.18000030517578,79.91666412353516,92.59259033203125,95.52092742919922,72.83089447021484
25886,ESCUELA ESPECIAL RICALHUE,3,Educación especial,5,Educación especial,51,Educación especial grupo 1,,,92.0,98.75,92.59259033203125,95.52092742919922,95.2113037109375
25887,ESCUELA ESPECIAL PART. ARCO IRIS,3,Educación especial,5,Educación especial,51,Educación especial grupo 1,,,84.875,98.125,92.59259033203125,96.54935455322266,94.54702758789062
25890,ESCUELA ESPECIAL DE LENGUJE MIS AMIGUITOS,3,Educación especial,5,Educación especial,51,Educación especial grupo 1,,,0.0,0.0,92.14366149902344,95.52092742919922,65.30707550048828
25894,COLEGIO MANANTIAL DE SAN MIGUEL,1,Urbana,2,Media urbana (con o sin básica),31,Media urbana (con o sin básica) grupo 1,70.2944564819336,42.67765426635742,0.0,0.0,100.0,95.52092742919922,60.97329330444336
